ID,Date,Time,State,Intensity,Injuries,Fatalities
DD2B7C95,5/18/1950,19:00:00,KS,0,0,0
49CBFB68,5/19/1950,1:30:00,KS,0,0,0
DD56A74A,5/22/1950,12:39:00,OK,1,0,0
506CBA3B,5/23/1950,18:00:00,KS,0,0,0
A0A4B45E,5/24/1950,13:30:00,KS,2,1,0
4EDEA4A6,5/24/1950,17:30:00,KS,1,0,0
ABA86BA9,5/24/1950,21:30:00,OK,2,2,0
ECEF6591,5/25/1950,16:30:00,TX,1,0,0
FA420BF6,5/29/1950,14:48:00,OK,1,0,0
8CC83909,5/29/1950,17:00:00,TX,1,0,0
053B6FCB,5/29/1950,23:00:00,LA,1,13,0
08F65174,5/29/1950,23:00:00,LA,1,0,0
EB380171,5/30/1950,14:00:00,GA,1,0,0
2DD6EC57,5/31/1950,15:30:00,NC,1,0,0
12600F80,6/3/1950,1:00:00,MS,3,1,2
81AACD60,6/4/1950,6:00:00,GA,0,0,0
CE945655,6/4/1950,8:00:00,GA,1,1,0
329C0B99,6/5/1950,15:55:00,TX,3,6,0
C76FD3DB,6/5/1950,16:00:00,TX,1,2,0
373C6EC9,6/7/1950,15:30:00,WY,1,0,0
FF2B372C,6/7/1950,17:30:00,GA,1,0,0
33B1C8D2,6/8/1950,20:10:00,KS,4,5,1
08D681E5,6/9/1950,13:00:00,MO,1,0,0
9F2902F0,6/9/1950,18:25:00,OK,1,0,0
9692B01E,6/13/1950,3:00:00,IL,1,0,0
F97FD42D,6/13/1950,11:05:00,ND,3,0,0
88BE77B6,6/13/1950,17:30:00,NE,2,101,0
DBA05068,6/14/1950,16:00:00,WY,1,0,0
DAA675B9,6/14/1950,17:00:00,ND,3,0,0
FD08C860,6/15/1950,1:00:00,MO,1,0,0
917A5CB7,6/15/1950,16:42:00,MN,2,4,0
51ADAB5F,6/15/1950,20:00:00,IA,3,5,0
644DF9B7,6/16/1950,15:30:00,KS,1,0,0
7C0A62CB,6/19/1950,20:40:00,TX,0,0,0
79061F48,6/22/1950,21:00:00,NE,0,0,0
831156A1,6/25/1950,18:45:00,KS,0,0,0
E77ED2B9,6/25/1950,19:20:00,WI,1,0,0
09FA90E5,6/25/1950,20:30:00,WI,2,0,0
EB3943D1,6/25/1950,21:00:00,WI,2,0,1
E3F3B6F4,6/25/1950,21:00:00,WI,4,12,2
C9B571B3,6/25/1950,21:00:00,KS,0,0,0
6EAB475B,6/25/1950,23:30:00,WI,3,0,0
918481F6,7/1/1950,12:00:00,KS,2,0,0
7FDC5535,7/1/1950,12:00:00,KS,1,1,0
615E2904,7/1/1950,20:00:00,IA,2,0,0
329F2FD0,7/2/1950,19:00:00,KS,2,0,0
E054B3E8,7/3/1950,18:20:00,IN,0,0,0
8496B110,7/5/1950,18:00:00,PA,2,2,0
CDE883BD,7/5/1950,18:30:00,PA,2,0,0
705920B8,7/8/1950,22:45:00,KS,1,0,0
FB7515EB,7/11/1950,17:00:00,NM,1,0,0
34EEE363,7/12/1950,16:00:00,CT,2,0,0
D57EE95C,7/14/1950,6:30:00,CT,2,3,0
6130696F,7/15/1950,17:30:00,NE,4,33,0
B40AD2F6,7/16/1950,22:15:00,IL,1,0,0
5870108E,7/18/1950,16:30:00,KS,1,0,0
1A9C983E,7/19/1950,14:30:00,IN,1,0,0
A373ECB4,7/19/1950,15:15:00,OH,2,0,0
9C03E476,7/19/1950,15:15:00,OH,3,30,0
F88EABAA,7/19/1950,16:00:00,MO,1,0,0
48FBE8E7,7/19/1950,17:45:00,IN,2,0,0
66E609BF,7/22/1950,15:07:00,CO,0,0,0
0C134009,7/24/1950,14:40:00,PA,0,0,0
1EE887AF,7/26/1950,15:30:00,NC,1,0,0
8E96E5BD,7/27/1950,16:20:00,NC,1,0,0
83DB585E,8/2/1950,12:30:00,NM,1,0,0
C294572E,8/5/1950,17:30:00,CO,2,1,0
5384BB6E,8/6/1950,15:00:00,KS,1,0,0
D2B431E4,8/6/1950,18:00:00,KS,2,0,0
00863305,8/6/1950,18:30:00,KS,2,0,0
72EFE3FC,8/8/1950,1:00:00,MO,1,0,0
CD3D5322,8/9/1950,16:55:00,WV,1,0,0
A23A3F24,8/11/1950,17:00:00,MD,1,0,0
AF39112E,8/24/1950,3:45:00,AR,2,7,0
365C091A,8/28/1950,14:50:00,KS,1,0,0
A1BCD385,8/29/1950,16:00:00,PA,1,0,0
B5C2D497,8/30/1950,16:00:00,FL,1,0,0
5FA9B072,8/31/1950,0:02:00,FL,0,0,0
5011BFD3,9/15/1950,17:45:00,OK,2,6,0
C5B98C38,9/16/1950,1:30:00,OK,0,0,0
4B28E57A,9/21/1950,17:30:00,NE,1,0,0
947F1204,10/1/1950,21:00:00,OK,1,0,0
205196EE,10/9/1950,2:15:00,NC,3,3,0
5958B892,11/4/1950,17:00:00,PA,3,1,0
498AB659,11/20/1950,2:20:00,KY,2,0,0
CDB442F1,11/20/1950,4:00:00,KY,1,0,0
72D1BF9B,11/20/1950,7:30:00,MS,1,3,0
8FE375DA,12/2/1950,15:00:00,IL,2,3,1
4BFA55EC,12/2/1950,16:00:00,IL,3,25,2
3F99F696,12/2/1950,16:25:00,AR,3,0,0
8E6F6DF4,12/2/1950,17:30:00,IL,1,0,0
7D3781C8,1/6/1951,17:30:00,LA,3,11,0
3C56617D,1/11/1951,10:25:00,CA,2,0,0
3D80F2CD,2/1/1951,13:00:00,VA,1,0,0
8D3D86AB,2/6/1951,15:50:00,LA,1,0,0
369DCFBB,2/6/1951,17:00:00,LA,1,0,0
1D051C18,2/19/1951,18:30:00,OK,2,5,0
B657493B,2/19/1951,22:00:00,OK,0,0,0
8D4A9D13,2/20/1951,9:15:00,AR,2,3,0
FFF0E999,2/20/1951,15:00:00,MS,3,1,1
FD8BD576,2/20/1951,15:00:00,MS,1,0,0
E0C260EA,2/20/1951,16:00:00,AL,2,2,0
3BB842C6,2/20/1951,18:00:00,KY,2,0,0
B13D23BF,3/2/1951,16:00:00,KS,3,0,0
DB3C9FFA,3/2/1951,20:30:00,KS,0,0,0
9B7FD2E4,3/12/1951,17:00:00,FL,2,0,0
14FDA4F9,3/28/1951,5:10:00,TX,1,0,0
1C449E0C,3/29/1951,18:30:00,IN,2,2,0
5C74574E,3/30/1951,15:00:00,PA,1,0,0
1617139E,4/5/1951,13:20:00,OK,2,0,0
766F7AD7,4/5/1951,13:22:00,OK,2,2,0
FC9117AE,4/5/1951,16:45:00,OK,2,2,0
EA22F72A,4/20/1951,15:10:00,TX,2,0,0
0D25ED0A,4/20/1951,15:30:00,KS,0,0,0
46674626,4/21/1951,12:00:00,MS,1,0,0
E7FD9020,4/21/1951,14:00:00,LA,0,2,0
A8984166,4/21/1951,14:00:00,LA,0,1,0
44D1CA3F,4/21/1951,19:25:00,MS,3,16,2
89A3DEED,4/24/1951,17:30:00,OK,0,0,0
C8E1BBCE,4/24/1951,18:03:00,OK,1,0,0
35CEB4A3,4/24/1951,21:00:00,OK,1,0,0
F327CFFE,4/26/1951,18:10:00,KS,0,0,0
B5BD538D,4/26/1951,18:15:00,KS,1,0,0
A649449F,4/26/1951,19:15:00,KS,0,0,0
E0AED2C4,4/26/1951,19:15:00,OK,1,0,0
